sample-id	run-number	community	composition
R46-18E-1	46	18S	Even
R46-18E-2	46	18S	Even
R46-18S-1	46	18S	Staggered
R46-18S-2	46	18S	Staggered
R47-18E-1	47	18S	Even
R47-18S-1	47	18S	Staggered
R55-18E-1	55	18S	Even
R55-18S-1	55	18S	Staggered
R46-16E18E-1	46	Mixed	16E18E
R46-16E18E-2	46	Mixed	16E18S
R46-16E18S-1	46	Mixed	16E18S
R46-16S18E-1	46	Mixed	16S18E
R46-16S18S-1	46	Mixed	16S18S
R46-16S18S-2	46	Mixed	16S18S
R47-16E18E-1	47	Mixed	16E18E
R47-16E18S-1	47	Mixed	16E18S
R47-16S18E-1	47	Mixed	16S18E
R47-16S18S-1	47	Mixed	16S18S
R55-16E18E-1	55	Mixed	16E18E
R55-16E18S-1	55	Mixed	16E18S
R55-16S18E-1	55	Mixed	16S18E
R55-16S18S-1	55	Mixed	16S18S
R46-V2E-1	46	V2	Even
R46-V2E-2	46	V2	Even
R46-V2S-1	46	V2	Staggered
R46-V2S-2	46	V2	Staggered
R47-V2E-1	47	V2	Even
R47-V2S-1	47	V2	Staggered
R55-V2E-1	55	V2	Even
R55-V2E-2	55	V2	Even
R55-V2S-1	55	V2	Staggered
R55-V2S-2	55	V2	Staggered
