	#OTU ID	mock_staggered_insilico	Taxon	group	expected_ratio	feature_id	Confidence	table_id	Forward_trim	Reverse_trim	feature_frequency	Replicate	run-number	community	composition	sum	ratio
100	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	9d62e166e4466c9e49fd380b656b565d	0.8435811232523553	F210R220	210	220	0.0	R46-18S-1	46	18S	Staggered	1075.0	0.0
101	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	9d62e166e4466c9e49fd380b656b565d	0.8435811232523553	F210R220	210	220	0.0	R46-18S-2	46	18S	Staggered	929.0	0.0
102	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	60b98ad70c17968f1702b84adb6503a2	0.9314350280468656	F210R220	210	220	125.0	R46-18S-1	46	18S	Staggered	1075.0	0.11627906976744186
103	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	60b98ad70c17968f1702b84adb6503a2	0.9314350280468656	F210R220	210	220	101.0	R46-18S-2	46	18S	Staggered	929.0	0.10871905274488698
158	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	4f25a34f4c8011e5c662f9614fcc604d	0.7452687075968507	F270R250	270	250	0.0	R46-18S-1	46	18S	Staggered	32.0	0.0
159	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	4f25a34f4c8011e5c662f9614fcc604d	0.7452687075968507	F270R250	270	250	0.0	R46-18S-2	46	18S	Staggered	1.0	0.0
226	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	9d62e166e4466c9e49fd380b656b565d	0.8435811232523553	F210R230	210	230	0.0	R46-18S-1	46	18S	Staggered	480.0	0.0
227	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	9d62e166e4466c9e49fd380b656b565d	0.8435811232523553	F210R230	210	230	0.0	R46-18S-2	46	18S	Staggered	305.0	0.0
228	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	a43376139b359aa2253c2d2252d52363	0.9023718184782632	F210R230	210	230	61.0	R46-18S-1	46	18S	Staggered	480.0	0.12708333333333333
229	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	a43376139b359aa2253c2d2252d52363	0.9023718184782632	F210R230	210	230	54.0	R46-18S-2	46	18S	Staggered	305.0	0.17704918032786884
230	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	c13b14f7f5c9d948f24ad4df734de08d	0.9081472065742352	F210R230	210	230	0.0	R46-18S-1	46	18S	Staggered	480.0	0.0
231	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	c13b14f7f5c9d948f24ad4df734de08d	0.9081472065742352	F210R230	210	230	0.0	R46-18S-2	46	18S	Staggered	305.0	0.0
244	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	98bfe4c0af7bb5a2271fc668b3057ed9	0.9158936920028116	F240R210	240	210	103.0	R46-18S-1	46	18S	Staggered	892.0	0.11547085201793722
245	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	98bfe4c0af7bb5a2271fc668b3057ed9	0.9158936920028116	F240R210	240	210	99.0	R46-18S-2	46	18S	Staggered	708.0	0.13983050847457626
246	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	da04b3f38c86305074d22aab863ec069	0.9112047229584224	F250R210	250	210	41.0	R46-18S-1	46	18S	Staggered	444.0	0.09234234234234234
